Ways to use GitHub,Cognitive load absolute,Cognitive load,Technical difficulty,Degree of immediate collaborativeness X1,Degree of immediate collaborativeness X2,Example,
Data and code storage,1,2,1,1,1,link,1 = present you and future you
Working diaries/ blogs,2,3,1,1,1,life-list  http://blog.phytools.org/ ,2 = future collaborators
Project management (issues and discussions),3,4,1,4,5,"(e.g., github issues)",3 = future public (people you do not know)
Project continuity,4,"4,3",1,2,4,,4 = present collaborators
Developing data standards,5,"4,6",4,5,5,https://github.com/ess-dive-community,5 = present public
Lab management notebooks,6,5,2,1,4,link 1 link 2,
Hosting and deployment of Academic Websites,7,"5,2",2,2,5,https://github.com/cabinetofcuriosity,Technical difficulty
Reproducible manuscripts,8,"5,4",5,2,4,https://github.com/PoisotLab/manuscript-template,2 = some push/pull/forking required
Pedagogic material,9,"5,6",3,1,5,Tidy Tuesday,"3 = requires knowledge of additional languages in addition to github (e.g., R Markdown)"
GitHub Organizations,10,"5,8",2,4,5,https://github.com/SORTEE-Github-Hackathon,4 = resolving conflicts
Peer-reviews,11,6,4,1,3,link,
Citeable and stable code,12,"6,5",2,1,3,,
Asynchronous collaborative coding and writing,13,9,4,4,5,,5= more complex GitHub tools like actions
Coding clubs,14,"9,5",3,4,4,https://github.com/riffomonas/code_club,1 = single upload to GitHub or use exclusively of the GitHub website
