Knowledge/tools required ☞ Ways to use GitHub ↓  ,Creating a remote and local GitHub repository,"A markup language (e.g., markdown)",git add/commit/push/pull,GitHub Pages,Releases,git branch/ pull requests,Solving conflicts and merging,Forking,GitHub Actions,Creating and solving issues,Creating and participating in discussions,GitHub gists,Cognitive Load
Storing a research compendium,1,0,1,0,0,0,,,,,,,2
Virtual lab notebook,1,1,1,0,0,1,1,,,,,,5
Educational materials,1,1,1,1,1,0,0,,,,,,5
Project management,1,1,0,0,0,0,0,0,,1,1,,4
Academic Websites,1,1,1,1,0,0,0,1,,,,,5
Archiving citeable code and data,1,0,1,0,0,0,0,0,0,,,,2
Asynchronous collaborative coding and writing,1,1,1,0,0,1,1,1,1,1,1,,9
Writing a manuscript,1,1,1,0,0,1,0,0,1,,,,5
Peer-reviews,1,1,1,0,0,0,1,0,0,1,1,,6
Open scientific discussions,1,1,1,,,0,,,,,,1,4
Project continuity,1,1,1,,,1,,,,,,,4
GitHub Organizations,1,1,1,,1,1,,,,,,,5
Automation,1,1,1,,,1,1,1,1,1,1,,7
